arc_length,uh_0,uh_1,uh_2
0.01446,10.0191,0.0154624,0
0.01448,10.0191,0.0154622,0
0.0145,10.0191,0.0154619,0
0.01452,10.0191,0.0154617,0
0.01454,10.0191,0.0154615,0
0.01456,10.0191,0.0154612,0
0.01458,10.0191,0.015461,0
0.0146,10.0191,0.0154608,0
0.01462,10.0191,0.0154605,0
0.01464,10.0191,0.0154603,0
0.01466,10.0191,0.01546,0
0.01468,10.0191,0.0154598,0
0.0147,10.0191,0.0154596,0
0.01472,10.0191,0.0154593,0
0.01474,10.0191,0.0154591,0
0.01476,10.0191,0.0154588,0
0.01478,10.0191,0.0154586,0
0.0148,10.0191,0.0154584,0
0.01482,10.0191,0.0154581,0
0.01484,10.0191,0.0154579,0
0.01486,10.0191,0.0154577,0
0.01488,10.0191,0.0154574,0
0.0149,10.0191,0.0154572,0
0.01492,10.0191,0.0154569,0
0.01494,10.0191,0.0154567,0
0.01496,10.0191,0.0154565,0
0.01498,10.0191,0.0154562,0
0.015,10.0191,0.015456,0
0.01502,10.0191,0.0154558,0
0.01504,10.0191,0.0154555,0
0.01506,10.0191,0.0154553,0
0.01508,10.0191,0.015455,0
0.0151,10.0191,0.0154548,0
0.01512,10.0191,0.0154546,0
0.01514,10.0191,0.0154543,0
0.01516,10.0191,0.0154541,0
0.01518,10.0191,0.0154539,0
0.0152,10.0191,0.0154536,0
0.01522,10.0191,0.0154534,0
0.01524,10.0191,0.0154531,0
0.01526,10.0191,0.0154529,0
0.01528,10.0191,0.0154527,0
0.0153,10.0191,0.0154524,0
0.01532,10.0191,0.0154522,0
0.01534,10.0191,0.015452,0
0.01536,10.0191,0.0154517,0
0.01538,10.0191,0.0154515,0
0.0154,10.0191,0.0154513,0
0.01542,10.0191,0.015451,0
0.01544,10.0191,0.0154508,0
0.01546,10.0191,0.0154505,0
0.01548,10.0191,0.0154503,0
0.0155,10.0191,0.0154501,0
0.01552,10.0191,0.0154498,0
0.01554,10.0191,0.0154496,0
